nct_id,phases,enrollment,enrollment_type,start_date,primary_completion_date,sponsor_class,n_conditions,n_sites,n_countries
NCT00984867,PHASE3,833,ACTUAL,2009-10,2011-03,INDUSTRY,1,88,6
NCT03775200,PHASE2,233,ACTUAL,2019-03-01,2021-07-30,INDUSTRY,1,25,10
NCT01779700,PHASE2,40,ACTUAL,2013-01,2016-08,OTHER,1,3,1
NCT01391507,PHASE2,36,ACTUAL,2011-10,2013-08,INDUSTRY,1,4,1
NCT01091207,PHASE2,39,ESTIMATED,2009-11,2010-12,OTHER,1,1,1
NCT03789292,PHASE3,648,ACTUAL,2018-11-26,2019-10-08,INDUSTRY,1,1,1
NCT06651892,PHASE2|PHASE3,42,ACTUAL,2024-05-01,2024-12-30,OTHER,1,1,1
NCT03323736,PHASE3,370,ACTUAL,2017-10-31,2019-02-28,INDUSTRY,2,19,2
NCT00407836,PHASE2,40,ESTIMATED,2006-11,2008-11,OTHER,1,1,1
NCT00281736,PHASE2,60,ESTIMATED,2004-02,2007-07,OTHER,2,1,1
NCT00211536,PHASE3,107,ACTUAL,2002-06,2004-08,INDUSTRY,1,5,1
NCT06960694,PHASE2,66,ACTUAL,2025-06-28,2025-11-19,OTHER,1,1,1
NCT04450394,PHASE2,278,ACTUAL,2020-07-01,2021-10-08,INDUSTRY,1,64,5
NCT00404794,PHASE3,20,ESTIMATED,2005-11,,OTHER_GOV,2,1,1
NCT00559494,PHASE1|PHASE2,52,ACTUAL,2004-06,2010-08,OTHER,1,1,1
NCT03190694,PHASE2,53,ACTUAL,2017-11-12,2019-11-01,OTHER,2,7,3
NCT03798366,PHASE2,33,ACTUAL,2019-01-14,2020-05-21,INDUSTRY,1,18,6
NCT00609466,PHASE3,291,ACTUAL,2007-09,2008-02,INDUSTRY,4,6,1
NCT00966056,PHASE2,60,ACTUAL,2007-10,2009-02,OTHER,4,1,1
NCT00832156,PHASE3,40,ACTUAL,2008-06,2012-09,OTHER,1,1,1
NCT05458856,PHASE3,147,ACTUAL,2022-08-30,2024-07-08,INDUSTRY,1,39,7
NCT03450629,PHASE3,682,ACTUAL,2018-09-13,2020-12-01,INDUSTRY,2,47,1
NCT02207829,PHASE3,1017,ACTUAL,2014-09-01,2015-05-25,INDUSTRY,1,99,13
NCT04532931,PHASE2,192,ACTUAL,2020-09-03,2021-08-05,INDUSTRY,1,1,1
NCT01808131,PHASE3,717,ACTUAL,2013-02,2016-08,INDUSTRY,1,207,11
NCT00746902,PHASE3,62,ACTUAL,2008-06,2013-12,OTHER,1,1,1
