nct_id,phases,enrollment,enrollment_type,start_date,primary_completion_date,sponsor_class,n_conditions,n_sites,n_countries
NCT01733927,PHASE3,497,ACTUAL,2010-05,2010-11,OTHER,1,1,1
NCT01249586,PHASE3,,,2010-02,2010-10,OTHER,1,1,1
NCT05135286,PHASE3,629,ACTUAL,2022-03-15,2025-03-13,OTHER,1,42,1
NCT04501874,PHASE2,82,ACTUAL,2020-07-29,2022-07-27,INDUSTRY,1,4,1
NCT00006390,PHASE2,,,2001-07-05,2004-12,NETWORK,1,14,1
NCT05269290,PHASE3,240,ACTUAL,2021-09-23,2022-04-29,INDUSTRY,3,8,1
NCT00311610,PHASE2,30,ACTUAL,2006-01,2007-01,OTHER,1,10,1
NCT02053610,PHASE3,787,ACTUAL,2009-12-31,2013-08-31,INDUSTRY,1,261,26
NCT03359213,PHASE2,18,ACTUAL,2018-07-26,2019-10-04,INDUSTRY,1,2,1
NCT00169260,PHASE2|PHASE3,536,ACTUAL,2005-02,2010-02,OTHER,1,1,1
NCT01547260,PHASE1|PHASE2,34,ACTUAL,2009-10,2014-01,OTHER,2,1,1
NCT00451282,PHASE3,290,ACTUAL,2007-04,2009-06,OTHER,1,1,1
NCT02028182,PHASE2,22,ACTUAL,2013-02,2013-06,INDUSTRY,1,1,1
NCT00329082,PHASE2,25,ACTUAL,2006-05,2008-05,INDUSTRY,1,6,1
NCT01815424,PHASE3,266,ACTUAL,2013-12,2015-07,INDUSTRY,1,24,3
NCT02718859,PHASE1|PHASE2,60,ACTUAL,2016-03-01,2017-03-01,OTHER,1,1,1
NCT00005859,PHASE1|PHASE2,136,ACTUAL,2000-05-16,2005-07-01,OTHER,1,11,1
NCT00070759,PHASE2,6,,2003-10-06,,NIH,1,1,1
NCT04350580,PHASE3,146,ACTUAL,2020-04-11,2020-11-20,OTHER,2,42,1
NCT00309179,PHASE2,41,ACTUAL,2007-09-24,2009-12-14,INDUSTRY,1,3,2
NCT00755079,PHASE2|PHASE3,40,ACTUAL,2007-04,2012-08,FED,1,1,1
NCT02267096,PHASE3,95,ACTUAL,2014-01,2016-06,OTHER,2,3,1
NCT00260962,PHASE2,34,ACTUAL,2000-09,2006-07,OTHER,1,1,1
NCT01591161,PHASE3,369,ACTUAL,2012-07,2013-06,INDUSTRY,3,1,1
NCT00773227,PHASE2,30,ACTUAL,2004-04,2015-07,OTHER,1,1,1
NCT00129727,PHASE2,62,ACTUAL,2005-06,2009-02,OTHER,1,0,0
NCT03283761,PHASE2,39,ACTUAL,2017-09-21,2022-12-27,OTHER,2,8,1
NCT00467961,PHASE2,61,ACTUAL,2007-04,2012-11,NIH,5,1,1
NCT00217061,PHASE3,98,,2005-04,2005-10,OTHER,4,1,1
NCT01782261,PHASE2,15,ACTUAL,2012-02,2015-02,OTHER,1,1,1
NCT01388361,PHASE3,413,ACTUAL,2011-09,2012-07,INDUSTRY,2,124,12
NCT05991661,PHASE1|PHASE2,24,ACTUAL,2023-05-12,2024-02-20,INDUSTRY,1,1,1
NCT01973218,PHASE3,264,ACTUAL,2013-11,2014-04,INDUSTRY,1,7,1
NCT01204918,PHASE2,104,ACTUAL,2011-06,2015-05,OTHER,1,3,1
NCT00000297,PHASE2,0,,1998-10,,NIH,1,1,1
NCT00183313,PHASE3,407,ACTUAL,2004-07,2009-07,OTHER,1,2,1
NCT04360720,PHASE3,3410,ACTUAL,2020-10-15,2024-11-30,OTHER,1,50,1
NCT01487720,PHASE2,33,ACTUAL,2008-10,2013-10,OTHER,1,1,1
NCT00237120,PHASE3,100,,2002-11,,INDUSTRY,1,0,0
NCT00000120,PHASE3,,,1985-01,,NIH,2,0,0
NCT02227420,PHASE3,76,ACTUAL,2014-10,2016-03,OTHER,2,1,1
NCT02035020,PHASE2,10,ACTUAL,2013-05,2014-07-30,OTHER,1,1,1
NCT03004924,PHASE3,753,ACTUAL,2017-03-29,2018-10-01,INDUSTRY,1,163,13
NCT05103423,PHASE1|PHASE2,50,ACTUAL,2021-06-24,2023-07-07,INDUSTRY,1,15,1
NCT00003923,PHASE2,4,ACTUAL,1999-03,2002-02,OTHER,4,1,1
NCT01802723,PHASE2,472,ACTUAL,2013-02,2013-06,INDUSTRY,1,22,1
NCT00698880,PHASE2|PHASE3,13,ACTUAL,2007-03,2008-02,OTHER,2,1,1
NCT02848079,PHASE1|PHASE2,41,ACTUAL,2016-10-31,2020-06-02,OTHER,1,1,1
NCT03526679,PHASE1|PHASE2,30,ACTUAL,2018-07-12,2021-06-30,OTHER,4,2,1
NCT01723696,PHASE2|PHASE3,252,ACTUAL,2012-12,2016-04,OTHER,4,2,1
NCT02268396,PHASE3,138,ACTUAL,2014-11,2015-01,INDUSTRY,1,10,1
NCT00839462,PHASE2,55,ACTUAL,2007-09,2007-09,INDUSTRY,1,1,1
NCT02940262,PHASE3,1138,ACTUAL,2016-09-15,2021-06-18,OTHER,2,1,1
NCT01720446,PHASE3,3297,ACTUAL,2013-02-21,2016-03-15,INDUSTRY,2,253,21
NCT00389896,PHASE3,150,,2001-07-26,2002-10-04,INDUSTRY,1,0,0
NCT00482196,PHASE2,173,ACTUAL,2005-07,2006-03,INDUSTRY,1,0,0
NCT05317546,PHASE2,36,ACTUAL,2022-10-01,2024-06-25,OTHER,1,1,1
NCT01513161,PHASE3,104,ACTUAL,2008-04,2009-10,INDUSTRY,1,1,1
NCT04399161,PHASE2|PHASE3,60,ACTUAL,2017-02-15,2017-12-20,OTHER,2,1,1
NCT05227703,PHASE2,391,ACTUAL,2022-07-05,2024-08-15,INDUSTRY,1,26,3
NCT00807027,PHASE3,180,ACTUAL,2008-12-05,2012-10,INDUSTRY,1,7,1
NCT00628160,PHASE2|PHASE3,72,ACTUAL,2006-10,2012-12,OTHER,2,1,1
NCT01365260,PHASE1|PHASE2,40,ACTUAL,2011-10,2012-11,INDUSTRY,1,1,1
NCT04892420,PHASE2,120,ACTUAL,2021-06-09,2021-08-20,OTHER,1,1,1
NCT00122460,PHASE3,442,ACTUAL,2004-12,2007-03,INDUSTRY,1,70,17
NCT02662582,PHASE2,46,ACTUAL,2016-06-30,2018-06-08,INDUSTRY,1,2,1
NCT04154982,PHASE2,181,ACTUAL,2020-09-02,2024-12-02,OTHER,1,1,1
NCT04654624,PHASE2|PHASE3,80,ACTUAL,2018-10-12,2019-10-01,OTHER,2,1,1
NCT02868580,PHASE2,43,ACTUAL,2016-10,2017-12,OTHER,1,4,1
NCT00414180,PHASE3,225,,2003-08,2005-05,OTHER,1,1,1
NCT03850080,PHASE2|PHASE3,15,ACTUAL,2017-10-06,2018-09-28,OTHER,3,1,1
NCT01005680,PHASE3,256,ACTUAL,2009-11,2012-11,INDUSTRY,1,8,1
NCT01208480,PHASE2,45,ACTUAL,2010-09,2012-02,OTHER,1,1,1
NCT02604680,PHASE2,509,ACTUAL,2015-10,2016-06,INDUSTRY,1,50,1
NCT00597779,PHASE3,200,ACTUAL,2007-02,2012-11,OTHER,1,1,1
NCT00012779,PHASE2,288,ESTIMATED,,,FED,1,3,1
NCT01857596,PHASE1|PHASE2,30,ACTUAL,2013-04,2014-10,INDUSTRY,2,2,1
NCT00089596,PHASE1|PHASE2,10,,2004-03,,INDUSTRY,5,4,1
NCT01449162,PHASE3,420,ACTUAL,2011-01,2019-11,INDUSTRY,1,8,6
NCT05018962,PHASE2,44,ACTUAL,2017-09-08,2019-04-15,OTHER,1,1,1
NCT03799562,PHASE2,96,ACTUAL,2019-05-01,2025-07-07,FED,1,1,1
NCT05527262,PHASE2,105,ACTUAL,2022-07-04,2025-12-31,OTHER,1,1,1
NCT00758446,PHASE2,36,ACTUAL,2008-09,2008-12,INDUSTRY,1,1,1
NCT01911546,PHASE2,20,ACTUAL,2013-06,2016-01,OTHER,1,1,1
NCT00567346,PHASE2|PHASE3,605,ACTUAL,2006-12,2007-10,INDUSTRY,1,40,7
NCT00165646,PHASE3,288,ACTUAL,2004-09,2005-10,INDUSTRY,1,35,1
NCT03067688,PHASE3,202,ACTUAL,2017-04-11,2018-03-27,INDUSTRY,2,1,1
NCT04170088,PHASE2|PHASE3,30,ACTUAL,2018-09-01,2019-05-01,OTHER_GOV,2,1,1
NCT03704688,PHASE1|PHASE2,12,ACTUAL,2018-10-09,2022-02-04,OTHER,2,7,1
NCT01972074,PHASE3,84,ACTUAL,2015-02-17,2018-05-07,OTHER,1,1,1
NCT01561690,PHASE2,184,ACTUAL,2012-04-02,2013-05-31,INDUSTRY,1,43,1
NCT00093990,PHASE3,457,ACTUAL,2004-01,,INDUSTRY,1,0,0
NCT00572897,PHASE2,66,ACTUAL,2007-08,2011-08,OTHER,1,12,4
NCT02898610,PHASE3,3154,ACTUAL,2016-12-12,2024-01-31,OTHER,2,145,14
NCT02473913,PHASE2,22,ACTUAL,2015-03,2018-06,OTHER,2,1,1
NCT01339260,PHASE3,1455,ACTUAL,2011-04,2012-11,INDUSTRY,1,172,15
NCT01993420,PHASE2,21,ACTUAL,2013-10,2014-02,INDUSTRY,1,2,1
NCT00790920,PHASE3,492,ACTUAL,2008-12,2014-07,INDUSTRY,1,102,17
NCT00161824,PHASE3,3800,,2001-10,,INDUSTRY,1,7,1
NCT00003424,PHASE3,300,ESTIMATED,1997-04,2000-06,OTHER_GOV,1,8,6
NCT02361424,PHASE2,47,ACTUAL,2013-02,2015-06,OTHER,1,1,1
NCT05203224,PHASE2,330,ACTUAL,2022-02-18,2025-11-24,OTHER,1,3,1
NCT06256523,PHASE1|PHASE2,72,ACTUAL,2022-06-29,2023-09-28,INDUSTRY,1,1,1
NCT04511923,PHASE1|PHASE2,40,ACTUAL,2020-12-23,2021-12-31,OTHER,4,1,1
NCT03150459,PHASE2,44,ACTUAL,2017-07-26,2018-03-12,OTHER,1,9,6
NCT02657980,PHASE3,96,ACTUAL,2015-04,2016-12,INDUSTRY,1,1,1
NCT00355680,PHASE3,24,ACTUAL,2005-12,2006-07,OTHER,1,1,1
NCT03995680,PHASE2,397,ACTUAL,2019-07-12,2019-10-09,OTHER,1,1,1
NCT05505279,PHASE3,20,ACTUAL,2022-10-05,2024-08-08,OTHER,3,1,1
NCT01861496,PHASE1|PHASE2,50,ACTUAL,2013-04,2021-10,INDUSTRY,2,4,1
NCT00208962,PHASE2,32,ACTUAL,1998-09,2007-09,OTHER,1,1,1
NCT01377662,PHASE2,30,ACTUAL,2011-08,2013-05,OTHER,2,3,1
NCT01935362,PHASE1|PHASE2,25,ACTUAL,2013-06,2014-02,OTHER,3,1,1
NCT02564146,PHASE2,325,ACTUAL,2016-12,2022-03,OTHER,2,1,1
NCT00098046,PHASE3,76,ESTIMATED,2005-07,,INDUSTRY,2,5,4
NCT03371888,PHASE2|PHASE3,58,ACTUAL,2017-12-07,2018-12-15,OTHER,4,1,1
NCT02543203,PHASE2,28,ACTUAL,2015-07,2018-03-16,OTHER,4,1,1
NCT03483103,PHASE2,74,ACTUAL,2018-07-27,2021-09-24,INDUSTRY,4,59,1
NCT03056690,PHASE2,186,ACTUAL,2017-03-20,2018-02-27,INDUSTRY,1,24,1
NCT00084097,PHASE2,30,,2004-06-02,,NIH,1,1,1
NCT03445897,PHASE2,50,ACTUAL,2016-01-31,2018-01-31,OTHER,1,0,0
NCT02819297,PHASE3,1020,ACTUAL,2016-06,2017-06,INDUSTRY,3,51,1
NCT01347710,PHASE3,795,ACTUAL,2011-06,2013-07,INDUSTRY,1,81,4
NCT02324413,PHASE3,45,ACTUAL,2013-10,2014-03,OTHER,1,1,1
NCT01259713,PHASE3,355,ACTUAL,2011-04,2013-12,INDUSTRY,1,1,1
NCT06188260,PHASE2,31,ACTUAL,2024-01-16,2024-11-04,OTHER,1,1,1
NCT00036660,PHASE2,10,ACTUAL,2002-01-10,2003-04-15,NETWORK,1,5,1
NCT03466320,PHASE1|PHASE2,21,ACTUAL,2018-09-18,2021-02-01,INDUSTRY,2,7,2
NCT01395524,PHASE3,302,ACTUAL,2011-07,2012-09,INDUSTRY,1,116,4
NCT01273259,PHASE2,51,ACTUAL,2008-05-06,2015-06-05,OTHER,2,4,1
NCT02431559,PHASE1|PHASE2,53,ACTUAL,2015-12-02,2018-12-11,OTHER,1,5,2
NCT03926780,PHASE3,79,ACTUAL,2018-12-01,2020-05-01,NETWORK,2,1,1
NCT04779879,PHASE2,354,ACTUAL,2021-02-18,2021-08-20,INDUSTRY,1,31,5
NCT05823896,PHASE2,219,ACTUAL,2023-05-01,2024-11-28,OTHER,10,1,1
NCT02598596,PHASE2,132,ACTUAL,2015-12,2020-04-13,INDUSTRY,1,11,1
NCT03206346,PHASE3,161,ACTUAL,2012-01,2012-11,INDUSTRY,4,5,1
NCT02753946,PHASE2|PHASE3,465,ACTUAL,2016-04,2017-01-12,INDUSTRY,3,68,16
NCT00545896,PHASE2,282,ACTUAL,2003-09,2010-06,OTHER,1,1,1
NCT01328496,PHASE2,14,ACTUAL,2011-06-15,2016-10-31,OTHER,3,1,1
NCT04287062,PHASE2,138,ACTUAL,2020-11-20,2025-08-15,OTHER,2,5,1
NCT01986088,PHASE3,1008,ACTUAL,1996-11,1998-01,INDUSTRY,1,0,0
NCT03206203,PHASE2,106,ACTUAL,2017-08-29,2022-11-30,OTHER,4,6,1
NCT03110003,PHASE3,45,ACTUAL,2016-06-27,2017-12-01,OTHER,2,1,1
NCT00315718,PHASE3,10,,2002-06,,INDUSTRY,1,1,1
NCT04492618,PHASE2,12,ACTUAL,2020-09-29,2022-03-16,OTHER,1,1,1
NCT01705574,PHASE3,583,ACTUAL,2012-10-24,2015-02-09,INDUSTRY,2,99,12
NCT00957918,PHASE1|PHASE2,65,ACTUAL,2009-10,2010-09,INDUSTRY,1,12,1
NCT03645018,PHASE3,1341,ACTUAL,2017-09-01,2018-08-31,OTHER,1,1,1
NCT01516918,PHASE2,103,ACTUAL,2012-02,2013-09,INDUSTRY,1,43,5
NCT00000610,PHASE3,,,1998-04,,NIH,5,0,0
NCT01923597,PHASE2,50,ACTUAL,2013-11,2015-03,OTHER,2,1,1
NCT00764010,PHASE3,563,ACTUAL,1997-05,2001-12,OTHER,1,1,1
NCT01198613,PHASE2,275,ESTIMATED,2010-09,2011-08,INDUSTRY,1,2,1
NCT05206513,PHASE3,86,ACTUAL,2022-04-15,2025-10-16,INDUSTRY,2,38,10
NCT05149560,PHASE2,200,ACTUAL,2021-12-14,2025-06-26,OTHER_GOV,1,1,1
NCT01016782,PHASE3,867,ACTUAL,2008-01,2009-07,INDUSTRY,1,0,0
NCT00012259,PHASE2,31,ACTUAL,2000-12-11,2002-03-27,INDUSTRY,1,20,2
NCT01792479,PHASE2,64,ACTUAL,2013-04,2016-04,INDUSTRY,1,17,2
NCT00107796,PHASE3,140,,2004-10,,INDUSTRY,1,73,2
NCT02371746,PHASE2,41,ACTUAL,2015-01-01,2019-02-13,INDUSTRY,1,14,1
NCT04008589,PHASE1|PHASE2,45,ACTUAL,2014-01-01,2016-03-31,OTHER,2,1,1
NCT04607850,PHASE1|PHASE2,108,ACTUAL,2021-03-16,2024-01-16,INDUSTRY,2,16,3
NCT06823791,PHASE1|PHASE2,493,ACTUAL,2022-08-01,2024-07-30,OTHER,2,1,1
NCT01621191,PHASE3,149,ACTUAL,2012-06,2014-02,INDUSTRY,1,1,1
NCT00057889,PHASE2,,,2003-02,2007-10,NIH,1,1,1
NCT00221650,PHASE2,17,ACTUAL,2002-04,,OTHER,3,1,1
NCT00845650,PHASE1|PHASE2,129,ACTUAL,2009-02,2010-10,INDUSTRY,1,1,1
NCT02322450,PHASE2,34,ACTUAL,2015-01,2016-04,INDUSTRY,1,4,1
NCT00719550,PHASE1|PHASE2,130,ACTUAL,2009-02,2010-11,INDUSTRY,3,0,0
NCT04494204,PHASE2|PHASE3,100,ACTUAL,2020-08-07,2020-12-01,NETWORK,1,3,1
NCT00002504,PHASE2,,,1992-08,1998-02,OTHER,7,5,1
NCT04435184,PHASE2,54,ACTUAL,2020-07-09,2020-11-28,OTHER,1,1,1
NCT00841204,PHASE2,50,ACTUAL,2009-02,2011-02,NIH,1,2,1
NCT01463033,PHASE2,126,ACTUAL,2005-04,2008-06,OTHER,2,2,1
NCT00115752,PHASE2,96,,2005-06-20,,NIH,1,1,1
NCT01206049,PHASE2,88,ACTUAL,2010-09,2016-03,OTHER,1,1,1
NCT00035438,PHASE2,60,,2002-05,,NIH,1,2,1
NCT00639938,PHASE3,722,ACTUAL,2004-07,2007-07,NIH,1,0,0
NCT00730158,PHASE2,33,ACTUAL,2008-12,2016-06,OTHER,1,2,1
NCT02386358,PHASE3,910,ACTUAL,1999-03,2012-12,OTHER_GOV,1,1,1
NCT00524758,PHASE3,20,ESTIMATED,2007-07,2011-10,INDUSTRY,6,1,1
NCT02707458,PHASE1|PHASE2,23,ACTUAL,2016-04,2017-03,OTHER,3,1,1
NCT00133848,PHASE3,210,,2005-04,,INDUSTRY,1,22,5
NCT03531255,PHASE3,137,ACTUAL,2018-08-27,2025-09-04,INDUSTRY,1,62,21
NCT00126048,PHASE2|PHASE3,54,ACTUAL,2005-07,2007-09,OTHER,1,1,1
NCT02628626,PHASE3,88,ACTUAL,2015-11,2022-04-14,OTHER,2,1,1
NCT01467115,PHASE2,1,ACTUAL,2010-03,2014-06,OTHER,1,1,1
NCT00613015,PHASE2,109,ACTUAL,2008-05,2012-07,OTHER,1,1,1
NCT01055015,PHASE3,141,ACTUAL,2010-02,2010-12,INDUSTRY,1,11,1
NCT00838435,PHASE3,95,ACTUAL,2009-02,2018-09-14,INDUSTRY,1,19,2
NCT00759135,PHASE2,85,ACTUAL,2007-05,2008-01,INDUSTRY,2,30,1
NCT03482635,PHASE2|PHASE3,98,ACTUAL,2018-03-27,2020-05-18,INDUSTRY,1,54,12
NCT02369835,PHASE3,132,ACTUAL,2015-05,2018-07-18,OTHER,2,2,1
NCT02237235,PHASE2,60,ACTUAL,2014-08,2017-08,OTHER,2,1,1
NCT03580408,PHASE2,64,ACTUAL,2018-08-31,2021-02-19,OTHER,2,51,2
NCT00520208,PHASE2,15,ACTUAL,2007-09,2012-12,INDUSTRY,1,2,1
NCT04775225,PHASE3,120,ACTUAL,2021-01-06,2021-04-06,OTHER,2,1,1
NCT03509025,PHASE2,11,ACTUAL,2017-02-08,2020-12-09,INDUSTRY,1,2,1
NCT00789425,PHASE2,64,ACTUAL,2008-09,2010-03,INDUSTRY,2,1,1
NCT02418676,PHASE1|PHASE2,15,ACTUAL,2013-03,2014-04,OTHER,2,0,0
NCT00002876,PHASE2,35,ESTIMATED,1991-10,1998-04,OTHER,1,3,1
NCT04388176,PHASE2,20,ACTUAL,2020-01-03,2020-12-14,INDUSTRY,2,1,1
NCT00893217,PHASE2,71,ACTUAL,2002-11,,INDUSTRY,2,14,1
NCT00740493,PHASE3,104,ACTUAL,2007-07,2017-01,OTHER,2,14,1
NCT00083421,PHASE2,647,ACTUAL,2004-06,,INDUSTRY,1,87,2
NCT00047216,PHASE2,,,2002-11,2006-03,OTHER,1,7,2
NCT03690206,PHASE3,106,ACTUAL,2018-10-04,2022-07-26,INDUSTRY,1,29,9
NCT04098406,PHASE2,45,ACTUAL,2019-12-19,2021-07-13,INDUSTRY,1,2,1
NCT00958204,PHASE3,134,ACTUAL,2009-10,2014-02,OTHER,1,1,1
NCT00931749,PHASE2,27,ACTUAL,2009-09,2010-02,OTHER,1,1,1
NCT01188148,PHASE2|PHASE3,219,ACTUAL,2009-08,2012-10,OTHER,1,1,1
NCT01877148,PHASE2,12,ACTUAL,2010-01,2012-09,OTHER,1,1,1
NCT04954326,PHASE2,89,ACTUAL,2021-05-07,2022-05-20,OTHER,1,6,1
NCT01282255,PHASE2,67,ACTUAL,2011-02,2012-01,INDUSTRY,2,29,8
NCT00425035,PHASE2,115,,2003-02,,INDUSTRY,1,0,0
NCT00236535,PHASE3,603,ACTUAL,2003-12,,INDUSTRY,2,0,0
NCT01906008,PHASE2,122,ACTUAL,2013-11,2019-02-14,OTHER,1,2,1
NCT01755676,PHASE3,638,ACTUAL,2016-09,2017-12,INDUSTRY,1,5,1
NCT00540176,PHASE2,40,ACTUAL,2007-10,2009-08,OTHER,1,1,1
NCT00315640,PHASE2,70,ACTUAL,2005-12,2009-07,INDUSTRY,1,12,8
NCT03271489,PHASE3,478,ACTUAL,2017-09-13,2024-06-28,INDUSTRY,2,157,2
NCT03264989,PHASE2,57,ACTUAL,2017-12-19,2023-06-26,INDUSTRY,1,12,1
NCT03069352,PHASE3,211,ACTUAL,2017-05-23,2019-02-15,INDUSTRY,1,109,24
NCT00006747,PHASE2,4,ACTUAL,2000-11,2003-02,OTHER,2,48,1
NCT01250249,PHASE3,120,ACTUAL,2008-11,2009-06,INDUSTRY,1,1,1
NCT01186549,PHASE1|PHASE2,165,ACTUAL,2010-08,2010-10,OTHER,2,1,1
NCT05076149,PHASE3,597,ACTUAL,2021-10-27,2023-05-18,INDUSTRY,1,170,20
NCT02096055,PHASE2,44,ACTUAL,2014-04-04,2020-11-24,OTHER,1,1,1
NCT03780426,PHASE2,30,ACTUAL,2018-10-01,2019-12-01,OTHER,1,1,1
NCT00503126,PHASE2,110,ACTUAL,2007-08,2008-07,INDUSTRY,1,0,0
NCT02158585,PHASE2,15,ACTUAL,2014-06,2017-03,OTHER,4,1,1
NCT01362543,PHASE3,143,ACTUAL,2011-06,2012-12,OTHER,1,1,1
NCT00824343,PHASE2,86,ACTUAL,2008-09,2011-04,INDUSTRY,1,9,1
NCT00315835,PHASE2,100,,1996-10,,INDUSTRY,1,1,1
NCT02315508,PHASE2,91,ACTUAL,2014-10,2015-12,INDUSTRY,1,18,1
NCT00795925,PHASE2,30,ACTUAL,2004-10,,INDUSTRY,1,0,0
NCT00138008,PHASE3,200,ACTUAL,2004-05,2016-05,OTHER,1,34,1
NCT01234025,PHASE1|PHASE2,113,ACTUAL,2010-11,2013-05,INDUSTRY,1,38,6
NCT00602225,PHASE1|PHASE2,50,ACTUAL,2007-12,2010-03,OTHER,8,1,1
NCT06717425,PHASE2,263,ACTUAL,2024-12-09,2025-10-23,INDUSTRY,1,38,3
NCT04333225,PHASE2,221,ACTUAL,2020-04-03,2020-06-30,OTHER,1,1,1
NCT05277376,PHASE3,162,ACTUAL,2022-03-15,2022-10-28,INDUSTRY,2,1,1
NCT00384176,PHASE2|PHASE3,1814,ACTUAL,2006-08-30,2009-11-15,INDUSTRY,1,280,28
NCT03958617,PHASE2|PHASE3,8,ACTUAL,2014-05-01,2019-02-28,OTHER,1,1,1
NCT02251717,PHASE2,114,ACTUAL,2014-10-14,2016-03-24,INDUSTRY,1,5,4
NCT00179140,PHASE2,26,ACTUAL,2002-11,2006-02,OTHER,1,1,1
NCT00743340,PHASE2,50,ACTUAL,2005-11-22,2017-02-13,INDUSTRY,1,2,1
NCT03282240,PHASE3,2670,ACTUAL,2017-09-08,2017-11-02,INDUSTRY,1,36,1
NCT00047840,PHASE2,129,,2002-10,,INDUSTRY,1,26,3
NCT03785340,PHASE3,252,ACTUAL,2018-12-03,2019-02-25,INDUSTRY,1,16,1
NCT01525589,PHASE2,111,ACTUAL,2012-06-13,2018-10,INDUSTRY,1,9,2
NCT00594152,PHASE3,71,ACTUAL,1993-01,,OTHER,2,1,1
NCT00866047,PHASE2,58,ACTUAL,2009-03,2010-08,INDUSTRY,2,22,5
NCT00981838,PHASE3,24,ACTUAL,2009-04,2011-04,OTHER,1,7,1
NCT00002738,PHASE2,25,ESTIMATED,1996-01,2006-06,OTHER,3,1,1
NCT01805258,PHASE3,135,ACTUAL,2007-06,2012-12,OTHER,1,1,1
NCT05388058,PHASE2,40,ACTUAL,2022-06-09,2023-07-14,OTHER,2,9,1
NCT00277355,PHASE2|PHASE3,114,ACTUAL,2006-04,2008-10,NETWORK,1,12,2
NCT01275755,PHASE2,81,ACTUAL,2011-01-19,2011-07-15,INDUSTRY,1,0,0
NCT00539578,PHASE2,270,ACTUAL,2002-09,2003-02,INDUSTRY,1,0,0
NCT01502215,PHASE3,198,ACTUAL,2012-01,2012-10,OTHER,2,1,1
NCT00083915,PHASE3,97,ACTUAL,2001-06,2010-06,OTHER,1,1,1
NCT06719115,PHASE2,30,ACTUAL,2023-05-03,2024-06-20,INDUSTRY,1,1,1
NCT01589835,PHASE2,59,ACTUAL,2012-07,2013-10,OTHER,1,1,1
NCT04988035,PHASE2,201,ACTUAL,2021-08-03,2022-04-23,NIH,1,39,1
NCT03242915,PHASE2,33,ACTUAL,2017-10-03,2025-02-20,OTHER,1,7,1
NCT01269515,PHASE2,60,ACTUAL,2010-10,2014-11,OTHER,1,2,1
NCT01526135,PHASE3,493,ACTUAL,2012-04-16,2018-03,OTHER,1,52,2
NCT00790335,PHASE3,692,ACTUAL,2009-11,2017-01,OTHER,5,56,1
NCT03978208,PHASE2,381,ACTUAL,2019-03-29,2019-12-29,INDUSTRY,1,35,1
NCT01457508,PHASE3,440,ACTUAL,1999-01,2000-03,INDUSTRY,6,0,0
NCT03124108,PHASE2,45,ACTUAL,2017-04-05,2018-10-31,INDUSTRY,1,24,5
NCT00421525,PHASE1|PHASE2,25,ACTUAL,2007-01,2009-06,INDUSTRY,3,6,1
NCT02631876,PHASE3,366,ACTUAL,2016-03-02,2019-01,INDUSTRY,4,131,13
NCT02572817,PHASE3,138,ACTUAL,2015-11,2018-04-26,NIH,1,30,1
NCT00702052,PHASE2,58,ACTUAL,2008-08-22,2012-04-20,INDUSTRY,1,31,1
NCT00049452,PHASE3,120,ESTIMATED,2001-12,,OTHER,2,3,1
NCT00004852,PHASE2,,,1999-09,,INDUSTRY,1,66,5
NCT02320149,PHASE3,968,ACTUAL,2014-12-18,2017-02-01,INDUSTRY,1,57,1
NCT00190658,PHASE3,75,,2000-02,2004-07,INDUSTRY,1,1,1
NCT00383448,PHASE2,38,ACTUAL,2006-09,2014-09,OTHER,9,1,1
NCT01390948,PHASE2,124,ACTUAL,2011-10-18,2016-02-05,INDUSTRY,1,53,14
NCT04264026,PHASE2,5,ACTUAL,2021-07-29,2025-05-01,FED,2,1,1
NCT05261126,PHASE2,381,ACTUAL,2022-03-10,2022-11-28,INDUSTRY,2,63,8
NCT01904578,PHASE2|PHASE3,120,ACTUAL,2010-02,2011-02,OTHER,1,0,0
NCT00527085,PHASE2,45,ESTIMATED,2001-10,2003-08,INDUSTRY,1,0,0
NCT00017043,PHASE2,,,2001-02,2003-01,INDUSTRY,2,1,1
NCT01027143,PHASE2|PHASE3,143,ACTUAL,2010-07,2016-10-22,OTHER,2,3,1
NCT00484315,PHASE3,1264,ACTUAL,2007-07,2009-09,INDUSTRY,1,90,4
NCT00554515,PHASE2,123,ACTUAL,2006-11,2013-10-31,OTHER,1,1,1
NCT00371215,PHASE2,72,ACTUAL,2006-08,2007-06,INDUSTRY,1,1,1
NCT04557735,PHASE3,41,ACTUAL,2020-12-07,2024-11-26,INDUSTRY,1,26,7
NCT02644408,PHASE3,184,ACTUAL,2014-10-01,2019-12-01,OTHER,2,1,1
NCT02920008,PHASE3,302,ACTUAL,2017-03-16,2020-01-20,INDUSTRY,1,95,15
NCT00894725,PHASE3,268,ACTUAL,2000-02,2004-12,OTHER,2,1,1
NCT01001325,PHASE3,468,ACTUAL,2009-10,2010-03,OTHER,1,2,1
NCT01079325,PHASE2,170,ACTUAL,2009-11,2015-05,INDUSTRY,3,31,1
NCT02144025,PHASE2,21,ACTUAL,2014-05,2016-02,OTHER,1,1,1
NCT03006276,PHASE3,622,ACTUAL,2016-12,2017-11,INDUSTRY,1,45,1
NCT01841606,PHASE2,57,ACTUAL,2013-03,2013-12,OTHER,1,1,1
NCT03725384,PHASE3,51,ACTUAL,2019-01-04,2022-01-26,OTHER,2,2,1
NCT00903552,PHASE2,221,ACTUAL,2009-05,2009-10,INDUSTRY,1,2,1
